﻿ip,COUNT(ip)
43.229.52.187,1
141.212.122.90,1
60.173.14.24,1
71.6.167.142,1
182.118.60.91,1
61.147.103.75,1
43.229.52.198,1
43.229.52.138,1
106.186.21.208,1
221.226.106.188,1
189.28.0.90,1
116.249.175.208,1
49.213.23.178,1
216.170.125.155,1
121.191.79.10,1
212.117.169.208,1
200.0.210.58,1
43.255.190.92,1
198.23.131.116,1
188.255.149.112,1
110.36.30.11,1
113.92.172.215,1
104.152.215.87,1
60.173.9.176,1
